COB_DATE,POSITION_ID,CUSIP,EMPLOYEE_ID,FUND_ID,QUANTITY,NOTIONAL_USD,SCHEDULE,MATURITY_DATE
20180102,20180102C966634544T3A013,C966634544,T3,A013,60000,,,
20180102,20180102C627157732T2A009,C627157732,T2,A009,44000,,,
20180102,20180102C947476417T3A001,C947476417,T3,A001,58000,,,
20180102,20180102BONDT4A001,,T4,A001,,50000,ANNUAL,
20180102,20180102BONDT1A008,,T1,A008,,210000,,
20180102,20180102C192395511T3A009,C192395511,T3,A009,57000,,,
20180102,20180102C925055856T3A002,C925055856,T3,A002,97000,,,
20180102,20180102C615991809T3A005,C615991809,T3,A005,76000,,,
20180102,20180102C551763107T2A002,C551763107,T2,A002,,,,
20180102,20180102C645474804T5A008,C645474804,T5,A008,20000,,,
20180102,20180102C615991809T3A015,C615991809,T3,A015,98000,,,
20180102,20180102C175210911T2A015,C175210911,T2,A015,65000,,,
20180102,20180102C969254604T3A006,C969254604,T3,A006,52000,,,
20180102,20180102C146500095T5A009,C146500095,T5,A009,78000,,,
20180102,20180102C219753848T2A001,C219753848,T2,A001,99000,,,
20180102,20180102C521914858T4A014,C521914858,T4,A014,40000,,,
20180102,20180102BONDT1A008,,T1,A008,,350000,,
20180102,20180102C270931603T4A004,C270931603,T4,A004,70000,,,
20180102,20180102BONDT1A010,,T1,A010,,840000,,
20180102,20180102C954078928T2A007,C954078928,T2,A007,34000,,,
20180102,20180102C956810865T2A010,C956810865,T2,A010,6000,,,
20180102,20180102C579623648T1A005,C579623648,T1,A005,97000,,,
20180102,20180102C402902400T3A014,C402902400,T3,A014,13000,,,
20180102,20180102C645474804T5A004,C645474804,T5,A004,55000,,,
20180102,20180102C432342063T4A002,C432342063,T4,A002,41000,,,
20180102,20180102C417359878T2A011,C417359878,T2,A011,86000,,,
20180102,20180102C113609857T2A000,C113609857,T2,A000,28000,,,
20180102,20180102C746067626T2A011,C746067626,T2,A011,85000,,,
20180102,20180102C457877394T3A011,C457877394,T3,A011,41000,,,
20180102,20180102BONDT2A000,,T2,A000,,60000,ANNUAL,
20180102,20180102C182368642T4A003,C182368642,T4,A003,74000,,,
20180102,20180102C980362150T4A007,C980362150,T4,A007,,,,
20180102,20180102C168746412T5A006,C168746412,T5,A006,15000,,,
20180102,20180102C432342063T4A015,C432342063,T4,A015,56000,,,
20180102,20180102C954078928T5A006,C954078928,T5,A006,11000,,,
20180102,20180102C954078928T4A012,C954078928,T4,A012,4000,,,
20180102,20180102C793833300T3A015,C793833300,T3,A015,26000,,,
20180102,20180102C746067626T3A009,C746067626,T3,A009,84000,,,
20180102,20180102C285291663T2A013,C285291663,T2,A013,87000,,,
20180103,20180103C823054248T1A015,C823054248,T1,A015,82000,,,
20180103,20180103C588718138T3A012,C588718138,T3,A012,7000,,,
20180103,20180103C588718138T1A013,C588718138,T1,A013,63000,,,
20180103,20180103C441864024T5A006,C441864024,T5,A006,48000,,,
20180103,20180103C298891492T3A003,C298891492,T3,A003,60000,,,
20180103,20180103C842853862T2A013,C842853862,T2,A013,54000,,,
20180103,20180103C417359878T2A006,C417359878,T2,A006,19000,,,
20180103,20180103C207240619T5A005,C207240619,T5,A005,29000,,,
20180103,20180103C859618923T1A000,C859618923,T1,A000,22000,,,
20180103,20180103C588718138T5A010,C588718138,T5,A010,29000,,,
20180103,20180103C823054248T4A003,C823054248,T4,A003,81000,,,
20180103,20180103C417359878T5A015,C417359878,T5,A015,83000,,,
20180103,20180103C521914858T3A008,C521914858,T3,A008,57000,,,
20180103,20180103BONDT4A012,,T4,A012,,0,SEMI-ANNUAL,
20180103,20180103C501048147T2A000,C501048147,T2,A000,42000,,,
20180103,20180103C627157732T2A011,C627157732,T2,A011,17000,,,
20180103,20180103C575312666T4A001,C575312666,T4,A001,87000,,,
20180103,20180103C969254604T1A000,C969254604,T1,A000,15000,,,
20180103,20180103BONDT3A003,,T3,A003,,0,ANNUAL,20270804
20180103,20180103C270807154T1A005,C270807154,T1,A005,35000,,,
20180103,20180103C404954805T5A010,C404954805,T5,A010,20000,,,
20180103,20180103C146500095T2A000,C146500095,T2,A000,95000,,,
20180103,20180103C690248719T4A011,C690248719,T4,A011,37000,,,
20180103,20180103C925055856T5A012,C925055856,T5,A012,46000,,,
20180103,20180103C747097309T2A003,C747097309,T2,A003,59000,,,
20180103,20180103C859618923T2A005,C859618923,T2,A005,15000,,,
20180103,20180103C246045880T5A005,C246045880,T5,A005,46000,,,
20180103,20180103C497714900T2A007,C497714900,T2,A007,64000,,,
20180103,20180103C653124476T1A004,C653124476,T1,A004,96000,,,
20180103,20180103C579623648T5A005,C579623648,T5,A005,31000,,,
20180103,20180103BONDT5A008,,T5,A008,,30000,SEMI-ANNUAL,
20180103,20180103C856299965T2A002,C856299965,T2,A002,95000,,,
20180103,20180103BONDT4A005,,T4,A005,,80000,SEMI-ANNUAL,
20180103,20180103C793833300T2A011,C793833300,T2,A011,,,,
20180103,20180103C291181338T1A008,C291181338,T1,A008,8000,,,
20180103,20180103C551763107T3A000,C551763107,T3,A000,59000,,,
20180103,20180103C192395511T4A015,C192395511,T4,A015,87000,,,
20180103,20180103C811250293T2A009,C811250293,T2,A009,72000,,,
20180103,20180103C501048147T1A006,C501048147,T1,A006,32000,,,
20180103,20180103C298891492T1A004,C298891492,T1,A004,43000,,,
20180103,20180103C579623648T2A003,C579623648,T2,A003,50000,,,
20180103,20180103C270807154T2A006,C270807154,T2,A006,51000,,,
20180103,20180103C900255546T4A014,C900255546,T4,A014,55000,,,
20180103,20180103C317648987T3A009,C317648987,T3,A009,41000,,,
20180103,20180103C298891492T2A001,C298891492,T2,A001,99000,,,
20180103,20180103BONDT5A008,,T5,A008,,560000,,
20180103,20180103C113609857T1A009,C113609857,T1,A009,25000,,,
20180103,20180103C335954952T1A004,C335954952,T1,A004,78000,,,
20180103,20180103C856299965T3A007,C856299965,T3,A007,96000,,,
20180103,20180103C441864024T4A015,C441864024,T4,A015,51000,,,
20180103,20180103C575310731T4A001,C575310731,T4,A001,50000,,,
20180103,20180103C402902400T1A014,C402902400,T1,A014,10000,,,
20180103,20180103C654238957T4A002,C654238957,T4,A002,52000,,,
20180103,20180103C627157732T3A005,C627157732,T3,A005,11000,,,
20180103,20180103BONDT3A002,,T3,A002,,80000,SEMI-ANNUAL,
20180103,20180103C501048147T1A009,C501048147,T1,A009,18000,,,
20180103,20180103C966634544T1A000,C966634544,T1,A000,19000,,,
20180103,20180103BONDT1A000,,T1,A000,,420000,,
20180103,20180103C877349282T5A000,C877349282,T5,A000,86000,,,
20180103,20180103C588718138T1A001,C588718138,T1,A001,50000,,,
20180103,20180103C710231249T3A006,C710231249,T3,A006,95000,,,
20180103,20180103C936333253T1A007,C936333253,T1,A007,12000,,,
20180103,20180103C534956101T3A008,C534956101,T3,A008,90000,,,
20180103,20180103C906008511T2A014,C906008511,T2,A014,88000,,,
20180103,20180103C575312666T2A011,C575312666,T2,A011,74000,,,
20180103,20180103C755456336T5A006,C755456336,T5,A006,79000,,,
20180103,20180103C541596602T3A009,C541596602,T3,A009,28000,,,
20180103,20180103C216547584T2A008,C216547584,T2,A008,66000,,,
20180103,20180103C386947041T1A007,C386947041,T1,A007,35000,,,
20180103,20180103C432342063T1A009,C432342063,T1,A009,56000,,,
20180103,20180103C667656750T1A010,C667656750,T1,A010,8000,,,
20180103,20180103C833889773T1A003,C833889773,T1,A003,65000,,,
20180103,20180103C980362150T4A012,C980362150,T4,A012,78000,,,
20180103,20180103C653124476T4A005,C653124476,T4,A005,46000,,,
20180103,20180103C856299965T5A005,C856299965,T5,A005,75000,,,
20180103,20180103C853829400T4A010,C853829400,T4,A010,73000,,,
20180103,20180103C980362150T1A010,C980362150,T1,A010,4000,,,
20180103,20180103C780779706T5A010,C780779706,T5,A010,2000,,,
20180103,20180103C746067626T1A010,C746067626,T1,A010,72000,,,
20180103,20180103C528162455T1A002,C528162455,T1,A002,70000,,,
20180103,20180103BONDT2A009,,T2,A009,,20000,ANNUAL,
20180103,20180103C780779706T1A004,C780779706,T1,A004,66000,,,
20180103,20180103C348312558T2A000,C348312558,T2,A000,79000,,,
20180103,20180103C385264889T4A004,C385264889,T4,A004,59000,,,
20180103,20180103C262865085T4A005,C262865085,T4,A005,77000,,,
20180103,20180103C242694825T2A010,C242694825,T2,A010,45000,,,
20180103,20180103C288998471T1A007,C288998471,T1,A007,10000,,,
20180103,20180103C654238957T2A003,C654238957,T2,A003,75000,,,
20180103,20180103C351197651T1A005,C351197651,T1,A005,13000,,,
20180103,20180103C432342063T4A006,C432342063,T4,A006,25000,,,
20180103,20180103C270807154T2A002,C270807154,T2,A002,68000,,,
20180103,20180103BONDT1A013,,T1,A013,,60000,SEMI-ANNUAL,
20180103,20180103BONDT5A006,,T5,A006,,530000,,
20180103,20180103C441864024T2A004,C441864024,T2,A004,41000,,,
20180103,20180103C947476417T2A006,C947476417,T2,A006,4000,,,
20180103,20180103C898246678T5A006,C898246678,T5,A006,36000,,,
20180103,20180103C175210911T4A006,C175210911,T4,A006,85000,,,
20180103,20180103C969254604T2A008,C969254604,T2,A008,17000,,,
20180103,20180103C351197651T2A015,C351197651,T2,A015,86000,,,
20180103,20180103C811250293T4A012,C811250293,T4,A012,6000,,,
20180104,20180104C551763107T1A004,C551763107,T1,A004,2000,,,
20180104,20180104C385264889T3A011,C385264889,T3,A011,66000,,,
20180104,20180104C936333253T1A002,C936333253,T1,A002,59000,,,
20180104,20180104C531620366T2A004,C531620366,T2,A004,53000,,,
20180104,20180104C850326527T4A014,C850326527,T4,A014,8000,,,
20180104,20180104C432342063T2A009,C432342063,T2,A009,3000,,,
20180104,20180104BONDT2A001,,T2,A001,,40000,ANNUAL,
20180104,20180104C306428091T2A009,C306428091,T2,A009,18000,,,
20180104,20180104C219753848T3A014,C219753848,T3,A014,43000,,,
20180104,20180104C497714900T4A008,C497714900,T4,A008,58000,,,
20180104,20180104BONDT3A014,,T3,A014,,90000,ANNUAL,
20180104,20180104C242694825T5A015,C242694825,T5,A015,8000,,,
20180104,20180104C823054248T5A004,C823054248,T5,A004,20000,,,
20180104,20180104C615991809T5A007,C615991809,T5,A007,2000,,,
20180104,20180104BONDT4A004,,T4,A004,,650000,,
20180104,20180104C192395511T2A015,C192395511,T2,A015,49000,,,
20180104,20180104C242694825T5A014,C242694825,T5,A014,24000,,,
20180104,20180104C317648987T1A002,C317648987,T1,A002,30000,,,
20180104,20180104C772969772T3A009,C772969772,T3,A009,55000,,,
20180104,20180104BONDT4A004,,T4,A004,,90000,SEMI-ANNUAL,
20180104,20180104C956282871T2A013,C956282871,T2,A013,34000,,,
20180104,20180104C780779706T2A012,C780779706,T2,A012,31000,,,
20180104,20180104BONDT2A013,,T2,A013,,40000,SEMI-ANNUAL,
20180104,20180104C575310731T2A003,C575310731,T2,A003,66000,,,
20180104,20180104C216547584T1A003,C216547584,T1,A003,77000,,,
20180104,20180104C947476417T2A000,C947476417,T2,A000,41000,,,
20180104,20180104C182368642T1A007,C182368642,T1,A007,64000,,,
20180104,20180104C285291663T2A001,C285291663,T2,A001,85000,,,
20180104,20180104C966634544T4A008,C966634544,T4,A008,94000,,,
20180104,20180104C219753848T5A008,C219753848,T5,A008,50000,,,
20180104,20180104C581066816T3A000,C581066816,T3,A000,66000,,,
20180104,20180104BONDT5A005,,T5,A005,,20000,ANNUAL,
20180104,20180104C404954805T4A009,C404954805,T4,A009,22000,,,
20180104,20180104C207240619T2A008,C207240619,T2,A008,3000,,,
20180104,20180104C500289558T4A007,C500289558,T4,A007,64000,,,
20180104,20180104C906008511T4A000,C906008511,T4,A000,78000,,,
20180104,20180104C747097309T1A013,C747097309,T1,A013,50000,,,
20180104,20180104BONDT5A004,,T5,A004,,810000,,
20180104,20180104C654238957T1A002,C654238957,T1,A002,98000,,,
20180104,20180104BONDT5A004,,T5,A004,,30000,,
20180104,20180104C242694825T2A004,C242694825,T2,A004,98000,,,
20180104,20180104BONDT3A015,,T3,A015,,30000,ANNUAL,
20180104,20180104BONDT4A000,,T4,A000,,30000,SEMI-ANNUAL,
20180104,20180104C351197651T4A004,C351197651,T4,A004,17000,,,
20180104,20180104C432342063T5A007,C432342063,T5,A007,11000,,,
20180104,20180104C309653244T1A015,C309653244,T1,A015,6000,,,
20180104,20180104C947476417T4A007,C947476417,T4,A007,35000,,,
20180104,20180104C654238957T3A015,C654238957,T3,A015,44000,,,
20180104,20180104C579623648T5A012,C579623648,T5,A012,86000,,,
20180104,20180104C386947041T5A010,C386947041,T5,A010,4000,,,
20180104,20180104C242694825T3A012,C242694825,T3,A012,21000,,,
20180104,20180104C182368642T1A001,C182368642,T1,A001,51000,,,
20180104,20180104BONDT3A010,,T3,A010,,440000,,
20180104,20180104C575312666T4A003,C575312666,T4,A003,41000,,,
20180104,20180104BONDT5A004,,T5,A004,,90000,ANNUAL,20300501
20180104,20180104C192395511T3A003,C192395511,T3,A003,87000,,,
20180104,20180104BONDT2A015,,T2,A015,,40000,,
20180104,20180104C192395511T5A010,C192395511,T5,A010,61000,,,
20180104,20180104C579623648T1A012,C579623648,T1,A012,62000,,,
20180104,20180104C575312666T3A003,C575312666,T3,A003,76000,,,
20180104,20180104C216547584T4A006,C216547584,T4,A006,69000,,,
20180104,20180104C755456336T3A004,C755456336,T3,A004,66000,,,
20180104,20180104BONDT1A009,,T1,A009,,40000,ANNUAL,20270805
20180104,20180104C270807154T2A007,C270807154,T2,A007,33000,,,
20180104,20180104C763405435T4A002,C763405435,T4,A002,24000,,,
20180104,20180104C898246678T4A007,C898246678,T4,A007,27000,,,
20180104,20180104C667656750T3A015,C667656750,T3,A015,6000,,,
20180104,20180104C850326527T3A000,C850326527,T3,A000,36000,,,
20180104,20180104C246045880T2A010,C246045880,T2,A010,85000,,,
20180104,20180104C898246678T4A000,C898246678,T4,A000,29000,,,
20180104,20180104C207240619T1A013,C207240619,T1,A013,56000,,,
20180104,20180104C954078928T2A000,C954078928,T2,A000,36000,,,
20180104,20180104C947476417T1A006,C947476417,T1,A006,31000,,,
20180104,20180104C246045880T1A010,C246045880,T1,A010,45000,,,
20180104,20180104C639711407T4A001,C639711407,T4,A001,19000,,,
20180104,20180104C386947041T3A015,C386947041,T3,A015,14000,,,
20180104,20180104C667656750T4A000,C667656750,T4,A000,58000,,,
20180104,20180104BONDT2A002,,T2,A002,,10000,SEMI-ANNUAL,20180104
20180104,20180104C925055856T3A012,C925055856,T3,A012,74000,,,
20180104,20180104C823054248T5A005,C823054248,T5,A005,21000,,,
20180104,20180104C956282871T3A005,C956282871,T3,A005,26000,,,
20180104,20180104BONDT3A003,,T3,A003,,550000,,
20180104,20180104C925055856T4A006,C925055856,T4,A006,67000,,,
20180104,20180104C291181338T3A009,C291181338,T3,A009,35000,,,
20180104,20180104C735399065T3A011,C735399065,T3,A011,12000,,,
20180104,20180104BONDT4A004,,T4,A004,,40000,SEMI-ANNUAL,20180104
20180104,20180104C246045880T4A013,C246045880,T4,A013,94000,,,
20180104,20180104BONDT1A013,,T1,A013,,20000,ANNUAL,
20180104,20180104C531620366T1A002,C531620366,T1,A002,95000,,,
20180104,20180104C746067626T1A007,C746067626,T1,A007,13000,,,
20180104,20180104C947476417T5A015,C947476417,T5,A015,35000,,,
20180104,20180104C645474804T2A005,C645474804,T2,A005,52000,,,
20180104,20180104C149922671T1A013,C149922671,T1,A013,28000,,,
20180104,20180104BONDT3A004,,T3,A004,,80000,ANNUAL,20180104
20180104,20180104C216547584T3A010,C216547584,T3,A010,94000,,,
20180104,20180104C168746412T5A006,C168746412,T5,A006,20000,,,
20180104,20180104C216547584T5A003,C216547584,T5,A003,74000,,,
20180104,20180104C351197651T4A004,C351197651,T4,A004,30000,,,
20180104,20180104C793833300T2A005,C793833300,T2,A005,50000,,,
20180104,20180104C774787649T5A012,C774787649,T5,A012,92000,,,
20180105,20180105C735399065T3A011,C735399065,T3,A011,58000,,,
20180105,20180105C219753848T4A015,C219753848,T4,A015,62000,,,
20180105,20180105C653124476T4A006,C653124476,T4,A006,41000,,,
20180105,20180105C780779706T3A007,C780779706,T3,A007,96000,,,
20180105,20180105C113609857T1A015,C113609857,T1,A015,13000,,,
20180105,20180105C811348629T5A011,C811348629,T5,A011,86000,,,
20180105,20180105C192395511T4A003,C192395511,T4,A003,79000,,,
20180105,20180105C853829400T3A008,C853829400,T3,A008,76000,,,
20180105,20180105C755456336T2A000,C755456336,T2,A000,47000,,,
20180105,20180105C291181338T4A003,C291181338,T4,A003,67000,,,
20180105,20180105C216547584T5A006,C216547584,T5,A006,20000,,,
20180105,20180105C936333253T1A006,C936333253,T1,A006,72000,,,
20180105,20180105C175210911T5A008,C175210911,T5,A008,38000,,,
20180105,20180105C351197651T5A001,C351197651,T5,A001,46000,,,
20180105,20180105BONDT5A006,,T5,A006,,0,SEMI-ANNUAL,
20180105,20180105BONDT5A012,,T5,A012,,90000,ANNUAL,
20180105,20180105C317648987T3A000,C317648987,T3,A000,27000,,,
20180105,20180105C830334386T5A012,C830334386,T5,A012,18000,,,
20180105,20180105C500289558T4A007,C500289558,T4,A007,76000,,,
20180105,20180105C954078928T1A002,C954078928,T1,A002,2000,,,
20180105,20180105C746067626T2A010,C746067626,T2,A010,8000,,,
20180105,20180105BONDT5A015,,T5,A015,,60000,ANNUAL,
20180105,20180105BONDT1A001,,T1,A001,,30000,ANNUAL,20300502
20180105,20180105C246045880T1A015,C246045880,T1,A015,68000,,,
20180105,20180105C458497274T2A013,C458497274,T2,A013,18000,,,
20180105,20180105C404954805T5A010,C404954805,T5,A010,48000,,,
20180105,20180105C432342063T5A002,C432342063,T5,A002,31000,,,
20180105,20180105C288998471T2A012,C288998471,T2,A012,88000,,,
20180105,20180105C898246678T1A013,C898246678,T1,A013,82000,,,
20180105,20180105C182368642T5A011,C182368642,T5,A011,13000,,,
20180105,20180105C715608976T3A015,C715608976,T3,A015,11000,,,
20180105,20180105C588718138T5A008,C588718138,T5,A008,68000,,,
20180105,20180105C856847326T2A001,C856847326,T2,A001,37000,,,
20180105,20180105C432342063T2A014,C432342063,T2,A014,84000,,,
20180105,20180105BONDT1A011,,T1,A011,,0,,
20180105,20180105C877349282T5A013,C877349282,T5,A013,90000,,,
20180105,20180105C335954952T4A002,C335954952,T4,A002,26000,,,
20180105,20180105C288998471T5A007,C288998471,T5,A007,96000,,,
20180105,20180105BONDT1A001,,T1,A001,,10000,SEMI-ANNUAL,20180105
20180105,20180105BONDT5A007,,T5,A007,,50000,SEMI-ANNUAL,20270806
20180105,20180105C541596602T3A006,C541596602,T3,A006,52000,,,
20180105,20180105BONDT4A011,,T4,A011,,520000,,
20180105,20180105C575310731T5A013,C575310731,T5,A013,15000,,,
20180105,20180105C853829400T3A005,C853829400,T3,A005,95000,,,
20180105,20180105C833889773T3A000,C833889773,T3,A000,61000,,,
20180105,20180105C811348629T1A015,C811348629,T1,A015,72000,,,
20180105,20180105C560457637T3A002,C560457637,T3,A002,97000,,,
20180105,20180105C402902400T3A014,C402902400,T3,A014,39000,,,
20180105,20180105C531620366T1A014,C531620366,T1,A014,7000,,,
20180105,20180105C925055856T3A000,C925055856,T3,A000,81000,,,
20180105,20180105C528162455T3A007,C528162455,T3,A007,59000,,,
20180105,20180105C581066816T2A010,C581066816,T2,A010,52000,,,
20180105,20180105C242694825T4A002,C242694825,T4,A002,48000,,,
20180105,20180105C667656750T1A003,C667656750,T1,A003,27000,,,
20180105,20180105C793833300T1A001,C793833300,T1,A001,77000,,,
20180105,20180105C242694825T1A014,C242694825,T1,A014,63000,,,
20180105,20180105BONDT2A010,,T2,A010,,700000,,
20180105,20180105C772969772T5A009,C772969772,T5,A009,72000,,,
20180105,20180105C441864024T4A001,C441864024,T4,A001,63000,,,
20180105,20180105C497714900T2A012,C497714900,T2,A012,26000,,,
20180105,20180105C856299965T4A011,C856299965,T4,A011,69000,,,
20180105,20180105C906008511T5A008,C906008511,T5,A008,45000,,,
20180105,20180105C441864024T3A012,C441864024,T3,A012,86000,,,
20180105,20180105C969254604T1A010,C969254604,T1,A010,54000,,,
20180105,20180105C715608976T3A002,C715608976,T3,A002,5000,,,
20180105,20180105C667656750T4A000,C667656750,T4,A000,31000,,,
20180105,20180105C747097309T2A013,C747097309,T2,A013,21000,,,
20180105,20180105C534956101T1A013,C534956101,T1,A013,18000,,,
20180105,20180105C309653244T2A009,C309653244,T2,A009,5000,,,
20180105,20180105C500289558T5A010,C500289558,T5,A010,63000,,,
20180105,20180105C823054248T3A005,C823054248,T3,A005,25000,,,
20180105,20180105C285291663T5A004,C285291663,T5,A004,94000,,,
20180105,20180105C833889773T2A010,C833889773,T2,A010,19000,,,
20180105,20180105C690248719T4A005,C690248719,T4,A005,10000,,,
20180105,20180105C793685348T1A009,C793685348,T1,A009,82000,,,
20180105,20180105C285291663T3A003,C285291663,T3,A003,16000,,,
20180105,20180105C579623648T4A009,C579623648,T4,A009,77000,,,
20180105,20180105C947476417T2A008,C947476417,T2,A008,22000,,,
20180105,20180105C966634544T2A002,C966634544,T2,A002,93000,,,
20180105,20180105C947476417T2A010,C947476417,T2,A010,25000,,,
20180105,20180105C833889773T2A009,C833889773,T2,A009,44000,,,
20180105,20180105C491534729T5A014,C491534729,T5,A014,93000,,,
20180105,20180105C317648987T3A000,C317648987,T3,A000,76000,,,
20180105,20180105C521914858T3A013,C521914858,T3,A013,32000,,,
20180105,20180105C850326527T3A000,C850326527,T3,A000,96000,,,
20180105,20180105C980362150T1A002,C980362150,T1,A002,25000,,,
20180105,20180105C531620366T3A003,C531620366,T3,A003,19000,,,
20180105,20180105C432342063T3A003,C432342063,T3,A003,78000,,,
20180105,20180105C966634544T1A007,C966634544,T1,A007,28000,,,
20180105,20180105C149922671T2A002,C149922671,T2,A002,49000,,,
20180105,20180105C627157732T1A013,C627157732,T1,A013,86000,,,
20180105,20180105C936333253T4A004,C936333253,T4,A004,12000,,,
20180105,20180105BONDT1A010,,T1,A010,,380000,,
20180105,20180105C898246678T2A001,C898246678,T2,A001,10000,,,
20180105,20180105BONDT1A001,,T1,A001,,10000,SEMI-ANNUAL,
20180105,20180105C954078928T5A010,C954078928,T5,A010,80000,,,
20180105,20180105C402902400T3A007,C402902400,T3,A007,47000,,,
20180105,20180105BONDT2A014,,T2,A014,,90000,ANNUAL,
20180105,20180105C823054248T3A012,C823054248,T3,A012,22000,,,
20180105,20180105C149922671T3A009,C149922671,T3,A009,72000,,,
20180106,20180106C704813496T3A006,C704813496,T3,A006,64000,,,
20180106,20180106C285291663T3A000,C285291663,T3,A000,17000,,,
20180106,20180106C541596602T5A009,C541596602,T5,A009,19000,,,
20180106,20180106C182368642T3A010,C182368642,T3,A010,2000,,,
20180106,20180106C497714900T2A013,C497714900,T2,A013,89000,,,
20180106,20180106C575312666T4A012,C575312666,T4,A012,21000,,,
20180106,20180106C378155229T2A010,C378155229,T2,A010,92000,,,
20180106,20180106C780779706T1A007,C780779706,T1,A007,54000,,,
20180106,20180106C956282871T4A014,C956282871,T4,A014,62000,,,
20180106,20180106C351197651T3A010,C351197651,T3,A010,42000,,,
20180106,20180106BONDT1A009,,T1,A009,,10000,SEMI-ANNUAL,
20180106,20180106C793833300T4A008,C793833300,T4,A008,46000,,,
20180106,20180106C615991809T1A012,C615991809,T1,A012,91000,,,
20180106,20180106C833889773T5A015,C833889773,T5,A015,87000,,,
20180106,20180106C811348629T5A011,C811348629,T5,A011,64000,,,
20180106,20180106C653124476T4A000,C653124476,T4,A000,6000,,,
20180106,20180106C404954805T3A000,C404954805,T3,A000,70000,,,
20180106,20180106C113609857T1A006,C113609857,T1,A006,10000,,,
